Date,Title,Type,Episodes,Hours,Genre,SleepLost
2022-10-27,Interstellar,Movie,1,0.7,Sci-Fi,0.7
2023-08-16,Interstellar,Movie,1,0.5,Sci-Fi,0.5
2024-09-21,The 100,TV Show,2,1.6,Sci-Fi,1.6
2024-01-07,Inception,Movie,1,0.6,Sci-Fi,0.6
2024-09-12,Lost,TV Show,3,2.0,Drama,2.0
2022-11-07,Money Heist,TV Show,5,3.4,Thriller,3.4
2024-12-17,Interstellar,Movie,1,1.0,Sci-Fi,1.0
2023-03-06,Squid Game,TV Show,2,1.8,Thriller,1.8
2024-10-04,Money Heist,TV Show,4,2.5,Thriller,2.5
2022-09-18,The 100,TV Show,5,4.6,Sci-Fi,4.6
2023-07-01,The 100,TV Show,5,4.8,Sci-Fi,4.8
2025-06-03,Squid Game,TV Show,5,3.9,Thriller,3.9
2024-11-25,Inception,Movie,1,1.0,Sci-Fi,1.0
2025-07-08,Game of Thrones,TV Show,1,1.0,Fantasy,1.0
2023-09-30,The Crown,TV Show,1,0.9,Drama,0.9
2024-10-08,Interstellar,Movie,1,0.6,Sci-Fi,0.6
2024-02-16,Dark,TV Show,4,3.9,Sci-Fi,3.9
2025-01-24,Interstellar,Movie,1,0.8,Sci-Fi,0.8
2023-02-22,Narcos,TV Show,3,2.3,Crime,2.3
2024-11-24,Lost,TV Show,4,4.7,Drama,4.7
2023-02-14,Black Mirror,TV Show,1,0.8,Sci-Fi,0.8
2022-11-04,Breaking Bad,TV Show,3,2.4,Drama,2.4
2024-08-05,Dark,TV Show,5,3.5,Sci-Fi,3.5
2023-08-18,Breaking Bad,TV Show,2,1.9,Drama,1.9
2024-01-04,The 100,TV Show,2,1.1,Sci-Fi,1.1
2023-09-23,The 100,TV Show,2,1.1,Sci-Fi,1.1
2024-08-09,Peaky Blinders,TV Show,3,2.1,Drama,2.1
2023-04-18,Stranger Things,TV Show,2,1.2,Sci-Fi,1.2
2023-08-06,Money Heist,TV Show,3,3.0,Thriller,3.0
2022-11-25,Money Heist,TV Show,4,4.5,Thriller,4.5
2024-04-09,Squid Game,TV Show,5,5.5,Thriller,5.5
2023-01-28,Money Heist,TV Show,4,3.0,Thriller,3.0
2025-01-27,Lucifer,TV Show,2,1.2,Fantasy,1.2
2023-07-05,Dark,TV Show,5,5.6,Sci-Fi,5.6
2024-10-18,Money Heist,TV Show,4,4.1,Thriller,4.1
2022-12-13,Inception,Movie,1,1.1,Sci-Fi,1.1
2023-10-02,Narcos,TV Show,5,5.9,Crime,5.9
2023-07-24,Lucifer,TV Show,4,3.2,Fantasy,3.2
2023-01-11,Inception,Movie,1,0.7,Sci-Fi,0.7
2025-02-27,Inception,Movie,1,0.8,Sci-Fi,0.8
2025-03-19,Brooklyn Nine-Nine,TV Show,5,4.4,Comedy,4.4
2025-04-29,Inception,Movie,1,0.6,Sci-Fi,0.6
2022-11-29,Money Heist,TV Show,5,5.6,Thriller,5.6
2025-08-09,Peaky Blinders,TV Show,2,2.2,Drama,2.2
2022-09-15,Brooklyn Nine-Nine,TV Show,5,3.2,Comedy,3.2
2024-05-26,Narcos,TV Show,1,0.7,Crime,0.7
2024-11-07,Game of Thrones,TV Show,1,1.0,Fantasy,1.0
2023-09-23,The Witcher,TV Show,1,0.8,Fantasy,0.8
2022-12-06,Narcos,TV Show,1,0.5,Crime,0.5
2022-12-29,Inception,Movie,1,0.8,Sci-Fi,0.8
